Allotted Course,Program,count
BO,B.A Hindi,8
BO,B.A History,4
BO,B.A Economics,3
CH,B.Sc Zoology,13
CH,B.Sc Botany,4
CH,B.A Sociology,3
CO,B.A Economics,15
CO,B.Sc Mathematics,14
CO,B.Sc Statistics,9
EC,B.Com Model I,15
EC,B.A Sociology,14
EC,B.Sc Statistics,5
EN,B.A Economics,13
EN,B.A History,9
EN,B.A Sociology,4
HI,B.A Sociology,9
HI,B.A Hindi,7
HI,B.A English,6
HN,B.A History,7
HN,B.A Sociology,3
HN,B.A Economics,2
MA,B.Sc Chemistry,9
MA,B.Sc Physics,9
MA,B.Sc Statistics,8
PE,B.A Sociology,9
PE,B.A History,7
PE,B.A English,6
PH,B.Sc Zoology,7
PH,B.Sc Chemistry,4
PH,B.Com Model I,3
SO,B.A History,9
SO,B.A English,8
SO,B.Sc Physics,7
ST,B.Com Model I,18
ST,B.Sc Mathematics,7
ST,B.A Economics,3
ZO,B.Sc Botany,11
ZO,B.Sc Chemistry,5
ZO,B.A English,4
